,text
96,#ad The Nike Air Max 97 'Metallic Gold' is now available via @FinishLIne for $165! (use code 15DRIP150 - retail $180) #SneakerScouts @Nike https://www.finishline.com/store/product/mens-nike-air-max-97-gold-medal-casual-shoes/prod2797460?styleId=CT4556&amp;colorId=700&amp;ranMID=37731&amp;ranEAID=zAJE4hSbGa4&amp;ranSiteID=zAJE4hSbGa4-5oi7cWtvOl.CJLzB4_2b6w&amp;CMP=AFL-LS-affiliatechannel&amp;sourceid=affiliate&amp;utm_source=3516449&amp;utm_medium=affiliate&amp;utm_campaign=1&amp;siteID=zAJE4hSbGa4-5oi7cWtvOl.CJLzB4_2b6w
97,"Get 40% OFF the Nike Air Max 97 ""Pink Gaze"" + free shipping Buy Here: https://bit.ly/3afavt1"
98,"Buy #Nike Air Max 97 ""USA"" White University Red Blue USA CW5584-100 Men’s Size 11 BRAND NEW AUTHENTIC #NIB 🏀 👟 http://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=4&amp;pub=5575607027&amp;toolid=10001&amp;campid=5338718122&amp;customid=Nike+Air+Max+97+%22USA%22+White+University+Red+Blue+USA+CW5584-100+Men%E2%80%99s+Size+11&amp;mpre=https%3A%2F%2Fwww.ebay.com%2Fitm%2F164300183846 only on #Ebay #BuyItNow for $200 #ebayforbusiness #ebayROCteam #ebayseller #ebaydeals #ebayfinds #AirMax97 #AirMaxUSA #Sneakers #AD"
99,Sale $97.50 w/code KLARNA. Men's Nike Air Max 270. Retail $150 https://bit.ly/31Ebqj0 #AD
100,$97.50 + free shipping w/code SUN25: Nike Air Max 90 ‘Persian Violet/Pollen Rise’ http://bit.ly/2TuxwRW 📷 via @TonyDiamondsTDC #AD
101,Sale $112.50 w/code KLARNA. Women's Nike Air Max 97. Retail $170 https://bit.ly/3a92XYX #AD
102,$112.49 + free shipping w/code SUN25: Nike Air Max 97 ‘Joker’ http://bit.ly/2MJcWdq #AD
103,Nike Air Max 270 React For $104.97 ($150) Click here to order: https://bit.ly/2PDprrA
104,Sale $97.00 https://ebay.to/2NqjRub #NIKE AIR MAX SEQUENT Men Size 8.5 #running Sneake
105,Nike Air Max 270 “White Fuchsia” : Sale Price: $97.50 (Retail $150) – use code: – KLARNA – at checkout 
